,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,host_is_superhost,property_type,bedrooms,beds,guests_included,review_scores_rating,instant_bookable,bathrooms,security_deposit,cleaning_fee,len_amenities
0,49091,COZICOMFORT LONG TERM STAY ROOM 2,266763,Francesca,North Region,Woodlands,1.44255,103.7958,Private room,84,180,1,0.01,2,365,f,Apartment,1.0,1.0,1,94.0,f,1.0,0.0,0.0,8
1,50646,Pleasant Room along Bukit Timah,227796,Sujatha,Central Region,Bukit Timah,1.33235,103.78520999999999,Private room,80,90,18,0.24,1,365,f,Apartment,1.0,1.0,2,91.0,f,1.0,0.0,0.0,12
2,56334,COZICOMFORT,266763,Francesca,North Region,Woodlands,1.44246,103.79666999999999,Private room,70,6,20,0.18,2,365,f,Apartment,1.0,1.0,1,98.0,f,1.0,0.0,0.0,9
3,71609,Ensuite Room (Room 1 & 2) near EXPO,367042,Belinda,East Region,Tampines,1.34541,103.95711999999999,Private room,167,90,20,0.19,8,365,f,Villa,2.0,3.0,4,89.0,t,1.0,279.0,56.0,27
4,71896,B&B  Room 1 near Airport & EXPO,367042,Belinda,East Region,Tampines,1.3456700000000001,103.95963,Private room,95,90,24,0.22,8,365,f,House,1.0,1.0,1,83.0,t,0.5,139.0,28.0,24
5,71903,Room 2-near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34702,103.96103000000001,Private room,84,90,48,0.43,8,365,f,House,1.0,2.0,1,88.0,f,0.5,139.0,28.0,18
6,71907,3rd level Jumbo room 5 near EXPO,367042,Belinda,East Region,Tampines,1.34348,103.96337,Private room,209,1,29,0.26,8,180,f,House,1.0,7.0,4,82.0,t,1.0,279.0,70.0,23
7,241503,"Long stay at The Breezy East ""Leopard""",1017645,Bianca,East Region,Bedok,1.3239100000000001,103.91277,Private room,52,90,176,1.71,3,356,t,Townhouse,1.0,1.0,1,99.0,f,1.0,200.0,0.0,36
8,241508,"Long stay at The Breezy East ""Plumeria""",1017645,Bianca,East Region,Bedok,1.3239100000000001,103.91277,Private room,54,90,199,1.89,3,353,t,Townhouse,1.0,2.0,1,99.0,f,1.0,200.0,0.0,35
9,275343,Conveniently located City Room!( (Phone number hidden by Airbnb) ),1439258,K2 Guesthouse,Central Region,Bukit Merah,1.28875,103.80814000000001,Private room,49,14,20,0.23,4,364,f,Apartment,1.0,1.0,1,88.0,f,1.0,152.0,65.0,14
10,275344,15 mins to Outram MRT Single Room (B),1439258,K2 Guesthouse,Central Region,Bukit Merah,1.28837,103.81099,Private room,41,14,12,0.12,4,364,f,Apartment,1.0,0.0,1,94.0,f,0.5,250.0,65.0,16
11,294281,5 mins walk from Newton subway,1521514,Elizabeth,Central Region,Newton,1.31125,103.83816,Private room,63,90,133,1.3,7,365,f,Apartment,1.0,1.0,1,89.0,f,1.0,147.0,42.0,27
12,301247,Nice room with private bath beside train station,1552002,Rahul,Central Region,Geylang,1.31724,103.88958000000001,Private room,40,10,104,1.28,1,0,f,Apartment,1.0,1.0,1,90.0,f,1.0,150.0,0.0,15
13,324945,20 Mins to Sentosa @ Hilltop ! (8),1439258,K2 Guesthouse,Central Region,Bukit Merah,1.28976,103.80896,Private room,45,14,14,0.14,4,364,f,Apartment,1.0,1.0,1,84.0,f,0.0,200.0,55.0,12
14,330089,"Accomo@ REDHILL-INSEAD, NTU,NUS -Mu(D)",1439258,K2 Guesthouse,Central Region,Bukit Merah,1.28677,103.81244000000001,Private room,41,14,10,0.13,4,364,f,Apartment,0.0,1.0,1,93.0,f,2.0,150.0,65.0,15
15,344803,Budget short stay room near  EXPO,367042,Belinda,East Region,Tampines,1.34943,103.95951,Private room,49,90,58,0.58,8,365,f,House,1.0,1.0,1,92.0,t,1.5,139.0,28.0,28
